Qty,Value,Parts,Device,Package,Description,MANUFACTURER AND PART NUMBER,
10,1k,"R3, R44, R46, R61, R62, R63, R64, R90, R91, R95",RESISTOR0402-RES,0402-RES,Resistor,Samsung RC1005J102CS,
1,64.9k,R49,RESISTOR0402-RES,0402-RES,Resistor,Samsung RC1005F6492CS,
23,4.7k,"R7, R10, R11, R12, R13, R14, R24, R25, R36, R37, R38, R39, R40, R41, R42, R43, R50, R51, R52, R53, R59, R109, R110",RESISTOR0402-RES,0402-RES,Resistor,Samsung RC1005F2610CS,
2,"1K, DNP","R89, R108",RESISTOR0402-RES,0402-RES,Resistor,,
1,"10K, DNP",R9,RESISTOR0402-RES,0402-RES,Resistor,,
1,OSD3358,SIP,OSD3358,OSD3358,Octavo Systems LLC - OSD3358 Rev A,Octavo Systems OSD3358-512M-BAS,
2,BSS138W-7-F,"T1, T2",BSS138W-7-F,SOT-323(DIODES),,Diodes Inc. BSS138W-7-F,
1,TESTPAD/W_HOLE_1X1,TP10,TESTPAD/W_HOLE_1X1,TESTPAD/W_HOLE_1X1,,N/A,
8,"TPB0,65","TP2, TP3, TP4, TP6, TP7, TP8, TP9, TP11","TPB0,65","B0,65",Test pad,N/A,
1,TCAN1051HV,U1,TCAN1051HV,D8,CAN Transceiver,Texas Instruments TCAN1051HVD,
1,EMMC,U13,EMMC04G-S100-B08U,MICRON_EMMC_153,,Micron MTFC4GACAJCN-1M WT,
1,SN74LV1T126DBVR,U2,SN74LV1T126DBVR,SOT23-5,,Texas Instruments SN74LV1T126DBVR,
2,TPD4S012DRY,"U3, U4",TPD4S012DRYR,SON-6(TI)-DRY,,Texas Instruments tpd4s012dryr,
1,24LC_32AT-I/OT,U5,24LC_32AT-I/OT,SOT95P290X145-5N,"IC, I2C Serial EEPROM,SOT-23-5",Microchip 24LC32AT-I/OT,
1,SN74LVC1G07_DCK_5,U6,SN74LVC1G07_DCK_5,DCK5,Single Buffer/Driver With Open-Drain Output,Texas Instruments SN74LVC1G07DCKR,
1,WL1835MODGBMOCT,U7,WL1835MOD,MOC-100(TI),,Texas Instruments WL1835MODGBMOCT,
2,TXS0108ERGYR,"U9, U10",TXS0108ERGYR,R-PVQFN-N20(TI),,Texas Instruments TXS0108ERGYR,
1,SCHA5B0200,X2,SCHA5B0200(ALPS_USD),SCHA5B0200,,Alps SCHA5B0200,
1,USB1,X3,USB_HOST_W/CHASSIS_GND,USB_HOST_HORIZONTAL_W/CHASSIS_GND,,TE Connectivity / AMP 787616-1-P,
1,10118192-0001LF,X4,10118192-0001LF,10118192-0001LF(MICRO-USB-B-AMPHENOL-FCI),Amphenol FCI Micro USB Type B Complete Surface Mount (SMT) no guide holes,FCI 10118192-0001LF,
1,24 MHz,Y1,CRYSTAL_5X3.2MM,CRYSTAL_5X3.2MM,,CTS 445A35A24M00000,
1,32.768kHz,Y2,CRYSTAL_3.2X1.5,CRYSTAL_3.2X1.5,,Fox Electronics FX135A-327,
1,2.4GHz antenna,,,,,Anaren 660890-2406,
